client_id,age,genre,anciennete_mois,facture_mensuelle,facture_totale,type_contrat,service_internet,moyen_paiement,tickets_support,region,offre_promo,senior,facture_electronique,dernier_contact_jours,churn
C100353,45.0,Femme,41,30.78,1126.09,Mensuel,DSL,Carte bancaire,2,Hauts-de-France,0,0,1,12,Oui
C100864,72.0,Homme,38,61.04,2115.34,Mensuel,Aucun,Prélèvement,2,Grand Est,0,1,1,20,Oui
C101161,,Autre,58,49.68,2891.79,Mensuel,Fibre,Carte bancaire,0,Occitanie,0,0,1,23,Non
C100192,56.0,Femme,1,78.61,77.59,Mensuel,DSL,Carte bancaire,2,Nouvelle-Aquitaine,1,0,1,20,Oui
C100782,25.0,Homme,14,60.51,882.58,Mensuel,Fibre,Virement,2,Occitanie,1,0,1,31,Oui
C100529,76.0,Femme,48,113.18,5434.37,Mensuel,Fibre,Carte bancaire,0,Occitanie,0,1,1,27,Oui
C100261,28.0,Femme,25,30.61,715.9,Mensuel,Fibre,Prélèvement,1,Nouvelle-Aquitaine,1,0,1,7,Oui
C100067,41.0,Femme,67,35.67,2546.58,Mensuel,Aucun,Prélèvement,1,Nouvelle-Aquitaine,1,0,1,2,Non
C100990,,Homme,53,57.49,2952.07,Mensuel,DSL,Carte bancaire,2,Île-de-France,0,0,1,22,Oui
C100051,30.0,Femme,28,40.35,1136.26,Mensuel,Fibre,Carte bancaire,0,Île-de-France,1,0,0,17,Non
C100231,72.0,Femme,7,18.5,119.8,Mensuel,Aucun,Virement,0,Occitanie,0,1,0,47,Non
C100309,24.0,Femme,70,72.78,4772.19,Biennal,Fibre,Prélèvement,1,Occitanie,0,0,0,11,Non
C101047,56.0,Homme,68,27.24,1737.49,Annuel,Fibre,Carte bancaire,0,Provence-Alpes-Côte d'Azur,1,0,1,36,Non
C101227,81.0,Homme,11,37.56,424.0,Annuel,Aucun,Carte bancaire,1,Provence-Alpes-Côte d'Azur,0,1,1,16,Oui
C100471,69.0,Homme,50,85.11,4090.39,Annuel,Fibre,Prélèvement,3,Auvergne-Rhône-Alpes,0,1,1,5,Non
C100852,79.0,Femme,70,29.59,,Mensuel,DSL,Prélèvement,0,Nouvelle-Aquitaine,0,1,0,21,Non
C100817,24.0,Homme,39,32.14,1173.19,Mensuel,DSL,Carte bancaire,2,Occitanie,0,0,0,8,Non
C100485,32.0,Homme,53,79.95,4039.83,Annuel,Fibre,Carte bancaire,2,Hauts-de-France,0,0,1,50,Non
C101249,80.0,Homme,13,74.99,870.47,Annuel,Fibre,Carte bancaire,1,Auvergne-Rhône-Alpes,1,1,1,12,Non
C100599,59.0,Femme,40,88.14,,Annuel,DSL,Virement,2,Hauts-de-France,0,0,1,9,Non
C100451,77.0,Homme,71,59.76,4250.53,Mensuel,Aucun,Virement,0,Auvergne-Rhône-Alpes,0,1,0,18,Non
C100818,60.0,Femme,57,102.52,5892.44,Mensuel,DSL,Carte bancaire,2,Provence-Alpes-Côte d'Azur,0,0,1,28,Non
C100477,19.0,Femme,41,18.5,720.4,Mensuel,Fibre,Carte bancaire,2,Occitanie,0,0,1,6,Non
C100070,68.0,Femme,58,83.81,4681.82,Annuel,Aucun,Virement,2,Provence-Alpes-Côte d'Azur,0,1,0,32,Oui
C101226,24.0,Femme,60,54.05,2991.7,Annuel,Aucun,Prélèvement,0,Nouvelle-Aquitaine,0,0,1,16,Non
C100796,79.0,Homme,54,69.44,3886.7,Biennal,Fibre,Chèque électronique,1,Grand Est,1,1,1,22,Non
C101100,48.0,Homme,5,57.6,298.48,Mensuel,DSL,Prélèvement,0,Île-de-France,0,0,1,18,Oui
